PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,24903,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,25203,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,25503,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,25803,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,26103,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,26403,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,26703,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,27003,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,27303,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,27603,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,27903,Ashmore Reef,0,0,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,28203,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,28503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,28803,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,29103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,29403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,29703,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,30003,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,30303,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,30603,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,30903,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,31203,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,31503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,31803,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,32103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,32403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,32703,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,33003,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,33303,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,33603,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,33903,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,34203,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,34503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,34803,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,35103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,35403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,35703,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,36003,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,36303,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,36603,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,36903,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,37203,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,37503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,37803,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,38103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,38403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,38703,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,39003,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,39303,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,39603,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,39903,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,40203,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,40503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,40803,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,41103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,41403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,41703,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,42003,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,42303,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,42603,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,42903,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,43203,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,43503,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,43803,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,44103,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,44403,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,44703,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,45003,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,45303,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,45603,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,45903,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,46203,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,46503,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,46803,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,47103,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,47403,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,47703,Ashmore Reef,1,14.2244,1
