PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,143,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,144,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,145,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,146,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,147,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,148,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,149,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,150,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,151,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,152,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,153,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,154,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,155,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,156,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,157,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,158,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,159,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,160,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,161,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,162,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,163,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,164,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,165,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,166,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,167,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,168,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,169,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,170,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,171,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,172,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,173,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,174,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,175,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,176,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,177,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,178,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,179,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,180,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,181,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,182,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,183,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,184,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,185,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,186,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,187,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,188,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,189,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,190,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,191,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,192,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,193,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,194,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,195,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,196,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,197,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,198,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,199,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,200,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,201,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,202,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,203,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,204,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,205,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,206,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,207,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,208,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,209,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,210,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,211,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,212,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,213,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,214,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,215,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,216,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,217,French Polynesia,9,35.53,9
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,218,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,219,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,220,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,221,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,222,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,223,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,224,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,225,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,226,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,227,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,228,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,229,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,230,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,231,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,232,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,233,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,234,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,235,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,236,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,237,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,238,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,239,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,240,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,241,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,242,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,243,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,244,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,245,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,246,French Polynesia,9,35.53,5
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,247,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,248,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,249,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,250,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,251,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,252,French Polynesia,9,35.53,5
