Location,Reef_ID,Region
French West Indies,182,Western Atlantic
French West Indies,183,Western Atlantic
Antigua and Barbuda,751,Western Atlantic
Belize,41,Western Atlantic
Belize,52,Western Atlantic
Dutch Antilles Leeward,762,Western Atlantic
Dutch Antilles Leeward,763,Western Atlantic
Dutch Antilles Leeward,761,Western Atlantic
Dutch Antilles Leeward,760,Western Atlantic
Dutch Antilles Leeward,768,Western Atlantic
Dutch Antilles Leeward,771,Western Atlantic
Dutch Antilles Leeward,770,Western Atlantic
Dutch Antilles Leeward,769,Western Atlantic
Dutch Antilles Leeward,757,Western Atlantic
Dutch Antilles Leeward,759,Western Atlantic
Dutch Antilles Leeward,758,Western Atlantic
Cuba,767,Western Atlantic
Cuba,766,Western Atlantic
Vietnam,753,Western Pacific
Vietnam,754,Western Pacific
Cuba,764,Western Atlantic
Cuba,765,Western Atlantic
Brazil,336,Western Atlantic
Brazil,413,Western Atlantic
Brazil,719,Western Atlantic
Brazil,720,Western Atlantic
Brazil,721,Western Atlantic
Guam,780,Central Pacific
Australia-Pacific,791,Central Pacific
Australia-Pacific,792,Central Pacific
Cuba,795,Western Atlantic
Bermuda,796,Western Atlantic
Indonesia,798,Western Pacific
Indonesia,799,Western Pacific
Cook Islands,793,Central Pacific
Cook Islands,794,Central Pacific
USA-Pacific,194,Central Pacific
USA-Western Atlantic,103,Western Atlantic
Puerto Rico,600,Western Atlantic
Puerto Rico,775,Western Atlantic
