,Freq,Count
590,0.0,7
591,0.0,8
592,0.0,9
593,0.0,10
594,0.97875,0
595,0.021,1
596,0.00025,2
597,0.0,3
598,0.0,4
599,0.0,5
600,0.0,6
601,0.0,7
602,0.0,8
603,0.0,9
604,0.0,10
605,0.9762,0
606,0.0235,1
607,0.0003,2
608,0.0,3
609,0.0,4
610,0.0,5
611,0.0,6
612,0.0,7
613,0.0,8
614,0.0,9
615,0.0,10
616,0.9778,0
617,0.0218,1
618,0.0004,2
619,0.0,3
620,0.0,4
621,0.0,5
622,0.0,6
623,0.0,7
624,0.0,8
625,0.0,9
626,0.0,10
627,0.9838,0
628,0.016,1
629,0.0002,2
630,0.0,3
631,0.0,4
632,0.0,5
633,0.0,6
634,0.0,7
635,0.0,8
636,0.0,9
637,0.0,10
638,0.9825,0
639,0.01725,1
640,0.00025,2
641,0.0,3
642,0.0,4
643,0.0,5
644,0.0,6
645,0.0,7
646,0.0,8
647,0.0,9
648,0.0,10
649,0.9827,0
650,0.01695,1
651,0.0003,2
652,5e-05,3
653,0.0,4
654,0.0,5
655,0.0,6
656,0.0,7
657,0.0,8
658,0.0,9
659,0.0,10
660,0.9725,0
661,0.02685,1
662,0.00065,2
663,0.0,3
664,0.0,4
665,0.0,5
666,0.0,6
667,0.0,7
668,0.0,8
669,0.0,9
670,0.0,10
671,0.9729,0
672,0.0264,1
673,0.00055,2
674,0.00015,3
675,0.0,4
676,0.0,5
677,0.0,6
678,0.0,7
679,0.0,8
680,0.0,9
681,0.0,10
682,0.9786,0
683,0.0212,1
684,0.00015,2
685,5e-05,3
686,0.0,4
687,0.0,5
688,0.0,6
689,0.0,7
690,0.0,8
691,0.0,9
692,0.0,10
693,0.97305,0
694,0.02655,1
695,0.0004,2
696,0.0,3
697,0.0,4
698,0.0,5
699,0.0,6
700,0.0,7
701,0.0,8
702,0.0,9
703,0.0,10
704,0.49595,0
705,0.2619,1
706,0.145,2
707,0.06335,3
708,0.02275,4
709,0.0075,5
710,0.0024,6
711,0.0009,7
712,0.00015,8
713,0.0001,9
714,0.0,10
715,0.5122,0
716,0.26275,1
717,0.1408,2
718,0.0573,3
719,0.019,4
720,0.00575,5
721,0.0017,6
722,0.00035,7
723,0.00015,8
724,0.0,9
725,0.0,10
726,0.47065,0
727,0.33125,1
728,0.13655,2
729,0.04525,3
730,0.0122,4
731,0.00355,5
732,0.00045,6
733,5e-05,7
734,0.0,8
735,5e-05,9
736,0.0,10
737,0.4718,0
738,0.3273,1
739,0.14215,2
740,0.0439,3
741,0.011,4
742,0.00295,5
743,0.00075,6
744,0.00015,7
745,0.0,8
746,0.0,9
747,0.0,10
748,0.5273,0
749,0.31785,1
750,0.1122,2
751,0.03265,3
752,0.00785,4
753,0.0016,5
754,0.0005,6
755,5e-05,7
756,0.0,8
757,0.0,9
758,0.0,10
759,0.44185,0
760,0.331,1
761,0.1543,2
762,0.05185,3
763,0.0155,4
764,0.0039,5
765,0.00135,6
766,0.0002,7
767,0.0,8
768,5e-05,9
769,0.0,10
770,0.39475,0
771,0.34185,1
772,0.1692,2
773,0.06285,3
774,0.022,4
775,0.0068,5
776,0.00185,6
777,0.00065,7
778,5e-05,8
779,0.0,9
780,0.0,10
781,0.3786,0
782,0.3374,1
783,0.1753,2
