PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo,,,
Euan Harvey,Jordan,Damon,NIC-14,277,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,278,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,279,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,280,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,281,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,282,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,283,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,284,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,285,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,286,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,287,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,288,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,289,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,290,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,291,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,292,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,293,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,294,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,295,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,296,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,297,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,298,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,299,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,300,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,301,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,302,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,303,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,304,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,305,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,306,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,307,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,308,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,309,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,310,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,311,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,312,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,313,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,314,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,315,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,316,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,317,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,318,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,319,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,320,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,321,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,322,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,323,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,324,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,325,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,326,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,327,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,328,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,329,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,330,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,331,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,332,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,333,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,334,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,335,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,336,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,337,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,338,Fiji,2,9.638,0,,,
